subid,jp_id,point,lat,lon,location,location_original,,,0,,A,B,RND_A,RND_B,,,,,
954,jp_cite_00183,,,,,,"""POINT(1055280.5085546249 6676796.274825975)"",""POINT(-10520399.536502874 5067645.7573955925)"",""POINT(643621.9333462779 7013421.771244165)"",""POINT(1965949.8852734556 6513439.491932893)"",""POINT(1896721.32923002 6640399.597484792)"",""POINT(1331390.1822407206 6873884.898617838)""}",,0,,,,0.987325741,0.966110408,,,,,
955,,POINT(1055280.5085546249 6676796.274825975),51.3127114,9.4797461,"Hesse-Kassel, Germany",,,,0,,1055280.509,6676796.275,0.212115265,0.414913783,,,,,
956,,POINT(-10520399.536502874 5067645.7573955925),41.3738765,-94.506357,East Prussia,,,,0,,-10520399.54,5067645.757,0.363955001,0.747644244,,,,,
957,,POINT(643621.9333462779 7013421.771244165),53.1641642,5.7817542,Friesland,,,,0,,643621.9333,7013421.771,0.259688863,0.776277848,,,,,
958,,POINT(1965949.8852734556 6513439.491932893),50.3862574,17.6604283,"Zulz, Poland",,,,0,,1965949.885,6513439.492,0.364320639,0.667940764,,,,,
959,,POINT(1896721.32923002 6640399.597484792),51.1078852,17.0385376,"Wroclaw, Poland",,,,0,,1896721.329,6640399.597,0.780010862,0.400055689,,,,,
960,,POINT(1331390.1822407206 6873884.898617838),52.4060761,11.9600815,"Wurtemberg, Germany",,,,0,,1331390.182,6873884.899,0.745556833,0.246677936,,,,,
961,jp_cite_00184,,,,,,"""POINT(1163458.5521707046 6650655.040248428)"",""POINT(4225548.653769276 6801122.66144857)"",""POINT(-10552831.223362682 3414057.0658450797)""}",,0,,,,0.033990007,0.656216831,,,,,
962,,POINT(1163458.5521707046 6650655.040248428),51.165691,10.451526,Germany,,,,0,,1163458.552,6650655.04,0.660991847,0.06819616,,,,,
963,,POINT(4225548.653769276 6801122.66144857),52.0055148,37.9587494,Eastern Europe,,,,0,,4225548.654,6801122.661,0.139821968,0.148080265,,,,,
964,,POINT(-10552831.223362682 3414057.0658450797),29.3013479,-94.7976958,"Galveston, Texas",,,,0,,-10552831.22,3414057.066,0.531543486,0.465114159,,,,,
965,jp_cite_00185,,,,,,"""POINT(-130724.67101431279 6864664.653290115)"",""POINT(246433.41138981478 5816903.7126172995)""}",,0,,,,0.813910683,0.030761755,,,,,
966,,POINT(-130724.67101431279 6864664.653290115),52.3555177,-1.1743197,"England, United Kingdom",,,,0,,-130724.671,6864664.653,0.145894603,0.395339793,,,,,
967,,POINT(246433.41138981478 5816903.7126172995),46.227638,2.213749,France,,,,0,,246433.4114,5816903.713,0.893465176,0.578791817,,,,,
968,jp_cite_00186,,,,,,"""POINT(-9754904.512583427 5142738.901800851)"",""POINT(-8639608.304701881 5336514.46167642)"",""POINT(-9407834.986473575 4736453.151296119)"",""POINT(-9094174.610276204 5086272.578710694)"",""POINT(-9239383.505513575 4860302.011201366)"",""POINT(-9244611.024272704 5210755.6179826)"",""POINT(-9785703.877222165 5317895.079201466)"",""POINT(-9973000.345345259 4967259.405253306)"",""POINT(-9670912.698881349 4926682.369266922)"",""POINT(1185622.8750417593 6336736.808888903)"",""POINT(1606660.2286676248 6461022.145308473)"",""POINT(-8238303.700046114 4970069.184605361)"",""POINT(1279939.2041591578 6239379.179002355)"",""POINT(-10363588.779221304 5142722.291352943)"",""POINT(918377.6948577381 6371222.627423867)"",""POINT(828397.8053716389 6159952.749614191)"",""POINT(1019957.8879151642 6559974.923579693)"",""POINT(1010921.6840985653 6982691.2956706965)"",""POINT(1130066.0890498909 6118923.587522439)"",""POINT(-8593255.180436589 5042377.967342213)"",""POINT(-9228394.145571535 3785070.7896179464)"",""POINT(-13293543.42450309 4408244.133335477)"",""POINT(-9653928.973604059 5102907.361454292)""}",,0,,,,0.574430528,0.911478441,,,,,
969,,POINT(-9754904.512583427 5142738.901800851),41.8781136,-87.6297982,"Chicago, Illinois",,,,0,,-9754904.513,5142738.902,0.149508078,0.249156906,,,,,
970,,POINT(-8639608.304701881 5336514.46167642),43.16103,-77.6109219,"Rochester, New York",,,,0,,-8639608.305,5336514.462,0.657596586,0.874126219,,,,,
971,,POINT(-9407834.986473575 4736453.151296119),39.1031182,-84.5120196,"Cincinnati, Ohio",,,,0,,-9407834.986,4736453.151,0.921606345,0.050703771,,,,,
972,,POINT(-9094174.610276204 5086272.578710694),41.49932,-81.6943605,"Cleveland, Ohio",,,,0,,-9094174.61,5086272.579,0.810009846,0.573186197,,,,,
973,,POINT(-9239383.505513575 4860302.011201366),39.9611755,-82.9987942,"Columbus, Ohio",,,,0,,-9239383.506,4860302.011,0.50699177,0.296198904,,,,,
974,,POINT(-9244611.024272704 5210755.6179826),42.331427,-83.0457538,"Detroit, Michigan",,,,0,,-9244611.024,5210755.618,0.45899737,0.86401165,,,,,
975,,POINT(-9785703.877222165 5317895.079201466),43.0389025,-87.9064736,"Milwaukee, Wisconsin",,,,0,,-9785703.877,5317895.079,0.804487331,0.587846924,,,,,
976,,POINT(-9973000.345345259 4967259.405253306),40.6936488,-89.5889864,"Peoria, Illionois",,,,0,,-9973000.345,4967259.405,0.710708428,0.539059959,,,,,
977,,POINT(-9670912.698881349 4926682.369266922),40.4167022,-86.8752869,"Lafayette, Indiana",,,,0,,-9670912.699,4926682.369,0.141555666,0.602920183,,,,,
978,,POINT(1185622.8750417593 6336736.808888903),49.3633273,10.6506315,"Franconia, Germany",,,,0,,1185622.875,6336736.809,0.920032627,0.2914804,,,,,
979,,POINT(1606660.2286676248 6461022.145308473),50.0850736,14.4328744,"Bohemia, Czech Republic",,,,0,,1606660.229,6461022.145,0.422021671,0.817521507,,,,,
980,,POINT(-8238303.700046114 4970069.184605361),40.7127837,-74.0059413,"New York, New York",,,,0,,-8238303.7,4970069.185,0.237222378,0.206624859,,,,,
981,,POINT(1279939.2041591578 6239379.179002355),48.7904472,11.4978895,"Bavaria, Germany",,,,0,,1279939.204,6239379.179,0.370542997,0.857231298,,,,,
982,,POINT(-10363588.779221304 5142722.291352943),41.8780025,-93.097702,Iowa,,,,0,,-10363588.78,5142722.291,0.417815559,0.092860987,,,,,
983,,POINT(918377.6948577381 6371222.627423867),49.5646683,8.2499272,"Dirmstein, Germany",,,,0,,918377.6949,6371222.627,0.245927459,0.439393226,,,,,
984,,POINT(828397.8053716389 6159952.749614191),48.3181795,7.4416241,"Alsace, France",,,,0,,828397.8054,6159952.75,0.462191633,0.253808155,,,,,
985,,POINT(1019957.8879151642 6559974.923579693),50.6520515,9.1624376,"Hesse, Germany",,,,0,,1019957.888,6559974.924,0.033000177,0.03152776,,,,,
986,,POINT(1010921.6840985653 6982691.2956706965),52.9983423,9.081264,"Baden, Germany",,,,0,,1010921.684,6982691.296,0.933318873,0.98532435,,,,,
987,,POINT(1130066.0890498909 6118923.587522439),48.0724931,10.1515564,"Fellheim, Germany",,,,0,,1130066.089,6118923.588,0.56639097,0.914642189,,,,,
988,,POINT(-8593255.180436589 5042377.967342213),41.2033216,-77.1945247,Pennsylvania,,,,0,,-8593255.18,5042377.967,0.521619004,0.45626819,,,,,
989,,POINT(-9228394.145571535 3785070.7896179464),32.1656221,-82.9000751,"Georgia, United States",,,,0,,-9228394.146,3785070.79,0.019724836,0.197649416,,,,,
990,,POINT(-13293543.42450309 4408244.133335477),36.778261,-119.4179324,California,,,,0,,-13293543.42,4408244.133,0.919093905,0.049357052,,,,,
991,,POINT(-9653928.973604059 5102907.361454292),41.611143,-86.7227195,"La Porte, Indiana",,,,0,,-9653928.974,5102907.361,0.934970591,0.275082687,,,,,
992,jp_cite_00187,,,,,,"""POINT(1185622.8750417593 6336736.808888903)"",""POINT(-8238303.700046114 4970069.184605361)"",""POINT(-7946256.5818446 5222174.159182549)"",""POINT(-9754904.512583427 5142738.901800851)""}",,0,,,,0.236283261,0.631703426,,,,,
993,,POINT(1185622.8750417593 6336736.808888903),49.3633273,10.6506315,"Franconia, Germany",,,,0,,1185622.875,6336736.809,0.521950608,0.415303935,,,,,
994,,POINT(-8238303.700046114 4970069.184605361),40.7127837,-74.0059413,"New York, New York",,,,0,,-8238303.7,4970069.185,0.678763605,0.580875826,,,,,
995,,POINT(-7946256.5818446 5222174.159182549),42.4072107,-71.3824374,Massachusetts,,,,0,,-7946256.582,5222174.159,0.312941264,0.799348425,,,,,
996,,POINT(-9754904.512583427 5142738.901800851),41.8781136,-87.6297982,"Chicago, Illinois",,,,0,,-9754904.513,5142738.902,0.395246905,0.426169397,,,,,
997,jp_cite_00188,,,,,,"""POINT(2660936.190137471 7342195.905872392)"",""POINT(-696894.4879151827 7047966.378955979)""}",,0,,,,0.399552442,0.51009905,,,,,
998,,POINT(2660936.190137471 7342195.905872392),54.8985207,23.9035965,"Kaunas, Lithuania",,,,0,,2660936.19,7342195.906,0.756421603,0.305991268,,,,,
999,,POINT(-696894.4879151827 7047966.378955979),53.3498053,-6.2603097,"Dublin, Ireland",,,,0,,-696894.4879,7047966.379,0.130295932,0.805344089,,,,,
1000,jp_cite_00189,,,,,,"""POINT(-12447551.562482074 4743932.698258384)"",""POINT(-12429771.11247734 4899982.238007817)"",""POINT(-12335392.344257563 4807899.180711598)"",""POINT(-12192684.441755597 4932359.061778497)"",""POINT(1295767.7782125955 6821446.042739539)"",""POINT(-9638091.304748226 4234430.42538702)"",""POINT(-8528429.900246715 4763352.471949581)""}",,0,,,,0.775203611,0.010075378,,,,,
1001,,POINT(-12447551.562482074 4743932.698258384),39.1552391,-111.8182582,"Gunnison, Utah",,,,0,,-12447551.56,4743932.698,0.000644912,0.298049251,,,,,
1002,,POINT(-12429771.11247734 4899982.238007817),40.2338438,-111.6585337,"Provo, Utah",,,,0,,-12429771.11,4899982.238,0.005446884,0.907973037,,,,,
1003,,POINT(-12335392.344257563 4807899.180711598),39.5994095,-110.8107148,"Price, Utah",,,,0,,-12335392.34,4807899.181,0.282405726,0.534356284,,,,,
1004,,POINT(-12192684.441755597 4932359.061778497),40.4555157,-109.5287479,"Vernal, Utah",,,,0,,-12192684.44,4932359.062,0.603935069,0.139094306,,,,,
1005,,POINT(1295767.7782125955 6821446.042739539),52.11776,11.64008,"Wurttemberg, Germany",,,,0,,1295767.778,6821446.043,0.020892797,0.15551848,,,,,
1006,,POINT(-9638091.304748226 4234430.42538702),35.5174913,-86.5804473,Tennessee,,,,0,,-9638091.305,4234430.425,0.982268902,0.424359637,,,,,
1007,,POINT(-8528429.900246715 4763352.471949581),39.2903848,-76.6121893,"Baltimore, Maryland",,,,0,,-8528429.9,4763352.472,0.048121693,0.788162601,,,,,
1008,jp_cite_00190,,,,,,"""POINT(1884101.0942202886 6873939.257412578)"",""POINT(-8238303.700046114 4970069.184605361)"",""POINT(-9089865.48844794 3546320.836784247)""}",,0,,,,0.355893673,0.947734897,,,,,
1009,,POINT(1884101.0942202886 6873939.257412578),52.406374,16.9251681,"Poznan, Poland",Prussian Poland,,,0,,1884101.094,6873939.257,0.250537713,0.705337613,,,,,
1010,,POINT(-8238303.700046114 4970069.184605361),40.7127837,-74.0059413,"New York, New York",,,,0,,-8238303.7,4970069.185,0.164366653,0.902648498,,,,,
1011,,POINT(-9089865.48844794 3546320.836784247),30.3321838,-81.655651,"Jacksonville, Florida",,,,0,,-9089865.488,3546320.837,0.563301434,0.440145046,,,,,
1012,jp_cite_00191,,,,,,"""POINT(4225548.653769276 6801122.66144857)"",""POINT(-8189469.475838417 5700850.969337447)"",""POINT(-7930711.772305103 5910023.688072596)""}",,0,,,,0.222550603,0.935466192,,,,,
1013,,POINT(4225548.653769276 6801122.66144857),52.0055148,37.9587494,Eastern Europe,,,,0,,4225548.654,6801122.661,0.753171244,0.746848959,,,,,
1014,,POINT(-8189469.475838417 5700850.969337447),45.5016889,-73.567256,"Montreal, Quebec",,,,0,,-8189469.476,5700850.969,0.508011738,0.752092808,,,,,
1015,,POINT(-7930711.772305103 5910023.688072596),46.8032826,-71.242796,"Quebec, Quebec",,,,0,,-7930711.772,5910023.688,0.221423397,0.683790883,,,,,
1016,jp_cite_00192,,,,,,"""POINT(-8189469.475838417 5700850.969337447)"",""POINT(-7930711.772305103 5910023.688072596)""}",,0,,,,0.508375739,0.119139037,,,,,
1017,,POINT(-8189469.475838417 5700850.969337447),45.5016889,-73.567256,"Montreal, Quebec",,,,0,,-8189469.476,5700850.969,0.807115804,0.670448902,,,,,
1018,,POINT(-7930711.772305103 5910023.688072596),46.8032826,-71.242796,"Quebec, Quebec",,,,0,,-7930711.772,5910023.688,0.626939505,0.167905349,,,,,
1019,jp_cite_00193,,,,,,"""POINT(-8523949.52451384 5268036.760894565)"",""POINT(1163458.5521707046 6650655.040248428)"",""POINT(-8476692.508247329 5319299.391249349)"",""POINT(-8529478.763620771 5265715.162669079)"",""POINT(-8523294.019692395 5301586.754563673)""}",,0,,,,0.746629495,0.562088821,,,,,
