subid,jp_id,point,lat,lon,location,location_original,
958,,POINT(1965949.8852734556 6513439.491932893),50.3862574,17.6604283,"Zulz, Poland",,
959,,POINT(1896721.32923002 6640399.597484792),51.1078852,17.0385376,"Wroclaw, Poland",,
960,,POINT(1331390.1822407206 6873884.898617838),52.4060761,11.9600815,"Wurtemberg, Germany",,
961,jp_cite_00184,,,,,,"""POINT(1163458.5521707046 6650655.040248428)"",""POINT(4225548.653769276 6801122.66144857)"",""POINT(-10552831.223362682 3414057.0658450797)""}"
962,,POINT(1163458.5521707046 6650655.040248428),51.165691,10.451526,Germany,,
963,,POINT(4225548.653769276 6801122.66144857),52.0055148,37.9587494,Eastern Europe,,
964,,POINT(-10552831.223362682 3414057.0658450797),29.3013479,-94.7976958,"Galveston, Texas",,
965,jp_cite_00185,,,,,,"""POINT(-130724.67101431279 6864664.653290115)"",""POINT(246433.41138981478 5816903.7126172995)""}"
966,,POINT(-130724.67101431279 6864664.653290115),52.3555177,-1.1743197,"England, United Kingdom",,
967,,POINT(246433.41138981478 5816903.7126172995),46.227638,2.213749,France,,
